ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
1312
ITEM: BOX BOUNDS pp pp pp
-50 50
-50 50
-0.61401 100.084
ITEM: ATOMS id type xu yu zu
 1 1 5.42798 0 0
 2 1 5.24303 1.40486 0
 3 1 5.0148 2.0772 1.22802
 4 1 4.30631 3.30434 1.22802
 5 1 3.83816 3.83816 0
 6 1 2.71399 4.70077 0
 7 1 2.0772 5.0148 1.22802
 8 1 0.708493 5.38154 1.22802
 9 1 1.53762e-15 5.42798 0
 10 1 -1.40486 5.24303 0
 11 1 -2.0772 5.0148 1.22802
 12 1 -3.30434 4.30631 1.22802
 13 1 -3.83816 3.83816 0
 14 1 -4.70077 2.71399 0
 15 1 -5.0148 2.0772 1.22802
 16 1 -5.38154 0.708493 1.22802
 17 1 -5.42798 3.07524e-15 0
 18 1 -5.24303 -1.40486 0
 19 1 -5.0148 -2.0772 1.22802
 20 1 -4.30631 -3.30434 1.22802
 21 1 -3.83816 -3.83816 0
 22 1 -2.71399 -4.70077 0
 23 1 -2.0772 -5.0148 1.22802
 24 1 -0.708493 -5.38154 1.22802
 25 1 -9.97104e-16 -5.42798 0
 26 1 1.40486 -5.24303 0
 27 1 2.0772 -5.0148 1.22802
 28 1 3.30434 -4.30631 1.22802
 29 1 3.83816 -3.83816 0
 30 1 4.70077 -2.71399 0
 31 1 5.0148 -2.0772 1.22802
 32 1 5.38154 -0.708493 1.22802
 33 1 5.42798 0 2.45605
 34 1 5.24303 1.40486 2.45605
 35 1 5.0148 2.0772 3.68407
 36 1 4.30631 3.30434 3.68407
 37 1 3.83816 3.83816 2.45605
 38 1 2.71399 4.70077 2.45605
 39 1 2.0772 5.0148 3.68407
 40 1 0.708493 5.38154 3.68407
 41 1 1.53762e-15 5.42798 2.45605
 42 1 -1.40486 5.24303 2.45605
 43 1 -2.0772 5.0148 3.68407
 44 1 -3.30434 4.30631 3.68407
 45 1 -3.83816 3.83816 2.45605
 46 1 -4.70077 2.71399 2.45605
 47 1 -5.0148 2.0772 3.68407
 48 1 -5.38154 0.708493 3.68407
 49 1 -5.42798 3.07524e-15 2.45605
 50 1 -5.24303 -1.40486 2.45605
 51 1 -5.0148 -2.0772 3.68407
 52 1 -4.30631 -3.30434 3.68407
 53 1 -3.83816 -3.83816 2.45605
